title,location,size,selling price
4 Bed House at Nairobi,"Muthaiga Road, Old Muthaiga, Nairobi, Muthaiga","4 bed Bungalow, Old Muthaiga, Nairobi","KSh 170,000,000"
5 Bed House in Kileleshwa,Kileleshwa,Elegance And Beauty! 5 Bedrooms Town House For...,"KSh 59,000,000"
4 Bed House with En Suite at Lantana Coral Drive,"Lantana Coral Drive, Nyali Area, Nyali",Luxury villas for sale on Lantana Drive in Nyal...,"KSh 55,000,000"
5 Bed Villa with En Suite in Karen,Karen,5 BEDROOM PLUS DSQ VILLA FOR SALE IN KAREN,"KSh 99,000,000"
3 Bed House with En Suite in Ngong,Ngong,"3 BEDROOMS BUNGALOW+SQ, NGONG.","KSh 7,600,000"
5 Bed House with En Suite at Rosslyn,"Rosslyn, Westlands",magnificent 5 Bed House with En Suite in Rossly...,"KSh 83,000,000"
4 Bed House with Borehole in Karen Hardy,Karen Hardy,4 Bedroom House for Sale at Ksh75M in Hardy Are...,"KSh 75,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 Bedroom Townhouse For Sale,"KSh 35,000,000"
5 Bed Townhouse with En Suite at Mugutha,"Mugutha, Ruiru","5 Bedroom Townhouse For Sale In Mugutha,Ruiru A...","KSh 20,000,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Magnificent 4 bedroom house in Loresho,"KSh 60,000,000"
4 Bed House with En Suite at Ruiru -Rurii,"RUIRU -RURII, Ruiru",4 BEDROOM MASSIONATE RUIRU RURII @12.5 MILLION,"KSh 12,500,000"
5 Bed Villa with En Suite at Kerarapon Drive,"KERARAPON DRIVE, Kerarapon drive, Ngong",5 BEDROOM MODERN VILLA READY BY JULY 2022,"KSh 31,000,000"
6 Bed House with En Suite at Nairobi,"Riverside gardens, Nairobi, Riverside, Westlands",6 Bedroom House Riverside For Sale - Nairobi,"KSh 70,000,000"
6 Bed Villa in Lavington,Lavington,6 Bed All Ensuite Plus Dsq For sale in Lavingto...,"KSh 121,000,000"
3 Bed House with En Suite at Kenyatta Road,Kenyatta Road,FLATROOF BUNGALOWS FOR SALE,"KSh 7,700,000"
4 Bed Townhouse with En Suite at Runda Mumwe,"Runda Mumwe, Runda, Westlands",4 Bed House with En Suite for sale at Runda Mum...,"KSh 60,000,000"
5 Bed House with Garden in Westlands Area,"Westlands Area, Westlands",Spacious 5 Bedroom Townhouse For Sale In Westla...,"KSh 40,000,000"
5 Bed Townhouse with En Suite at Katani Villas,"Katani villas, Katani",4br+SQ Townhouse at Katani villas,"KSh 18,500,000"
5 Bed Townhouse in Kitisuru,"Kitisuru, Westlands",5 Bedroom Townhouse For Sale in Old Kitisuru.,"KSh 48,000,000"
4 Bed Villa with En Suite at Eastern Bypass,"Eastern Bypass, Ruiru",VILLAS FOR SALE,"KSh 19,500,000"
4 Bed Villa with En Suite at Karen,"345, karen, Karen",4 bedrooms townhouse for sale in KAREN,"KSh 60,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,Ultra Modern 5 Bedroom Townhouse for Sale in La...,"KSh 74,000,000"
3 Bed House with En Suite at Jumba Ruins,"Mtwapa, Jumba Ruins","Country style House on sale,Mtwapa Jumba Ruins","KSh 45,000,000"
3 Bed House in Kitengela,Kitengela,3 BEDROOM BUNGALOW FOR SALE,"KSh 6,500,000"
4 Bed House with En Suite in Kitengela,Kitengela,4-BEDROOMS MASIONETTE,"KSh 15,500,000"
4 Bed House with En Suite at Karen,Karen,4 Bedroom villa for sale in Karen,"KSh 75,000,000"
4 Bed House with En Suite in Muchatha,"Muchatha, Muchatha and Banana",4 BEDROOMS VILLAS.,"KSh 22,500,000"
4 Bed House with Garden at Lolldaiga,"Lolldaiga, Nanyuki",Courtyard property set on 50 acres for sale in...,"KSh 69,000,000"
5 Bed House with En Suite at Nairobi,"Lower Kabete, Nairobi, Westlands","5 bedroom Villa with a pool for Sale, Lower Kab...","KSh 160,000,000"
5 Bed House with En Suite in Nyari,"Nyari, Westlands",Nyari Five Bedroom Stand Alone House with a Swi...,"KSh 145,000,000"
6 Bed Villa with En Suite in Lavington,Lavington,A magnificent 6 bedrooms villas for sale in lav...,"KSh 121,000,000"
3 Bed House with En Suite at Mtwapa Weigh Bridge,"Mtwapa Weigh bridge, Mtwapa",PHASE 3 GREENWOOD LUXURY GARDEN MTWAPA 3 BEDRO...,"KSh 7,500,000"
4 Bed House with En Suite in Kitengela,Kitengela,Kitengela 4 Bedroom Maisonette + SQ FOR SALE,"KSh 34,000,000"
4 Bed House with En Suite at Kilimani,Kilimani,4 BEDROOM MAISSONETTE FOR SALE IN KILIMANI AT...,"KSh 38,000,000"
3 Bed House in Buruburu,Buruburu,Buruburu Phase 4 Bungalow,"KSh 13,000,000"
3 Bed House with En Suite in Juja,Juja,Flatroof Bungalow with DSQ,"KSh 7,200,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Spring Valley 4 Bedroom Townhouse plus Dsq for...,"KSh 90,000,000"
3 Bed Townhouse with En Suite in Ruiru,Ruiru,Beautiful Maisonatte and bungalow for sale,"KSh 10,500,000"
5 Bed Townhouse with En Suite in Rhapta Road,"Rhapta Road, Westlands","5 Bed Townhouse For Sale off Rhapta Road, Westl...","KSh 48,000,000"
4 Bed Villa with En Suite at Ruiru,"Ruiru, Eastern ByPass",VILLAS FOR SALE,"KSh 21,000,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Townhouse for sale in Westlands,"KSh 70,000,000"
4 Bed House in Tigoni,"Tigoni, Limuru",4 bedroom house for sale in Tigoni,"KSh 17,500,000"
3 Bed Villa with En Suite in Mtwapa,Mtwapa,3 Bedroom Villa For sale -Mtwapa,"KSh 30,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",LUXURIOUS 4 BEDROOM MAISONETTE FOR SALE IN NYAL...,"KSh 70,000,000"
4 Bed Townhouse with En Suite at Eastern By-Pass,"Eastern By-Pass, Kamakis, Ruiru",4 Bedroom mansionettes all En-suite for sale in...,"KSh 12,600,000"
3 Bed House with En Suite in Mombasa Road,Mombasa Road,3 Bedroom Massionate plus a DSQ House For Sale...,"KSh 13,500,000"
6 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 6 BEDROOMS EXECUTIVE VILLA - NYALI,"KSh 64,000,000"
5 Bed House with En Suite at Kitengela,Kitengela,Prime Mansionette with an Elegant Green Garden...,"KSh 16,499,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,707 Mbabane Town Houses,"KSh 95,000,000"
5 Bed Townhouse with En Suite at Grevillea Groove,"Grevillea groove, Brookside, Westlands",Spacious,"KSh 65,000,000"
4 Bed House with En Suite at Vipingo,"Vipingo, Kikambala",4 bedroom maisonettes For sale,"KSh 25,000,000"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",Stylish 4 Bedroom Maisonette For Sale In Brooks...,"KSh 56,000,000"
3 Bed House in Ngong,Ngong,3 Bedroom to Let,"KSh 13,000,000"
3 Bed Villa with En Suite at Ukunda,"Diani, Ukunda",Villa in Diani on sale.,"KSh 60,000,000"
