title,location,size,selling price
5 Bed House with En Suite in Kenyatta Road,Kenyatta Road,5bedrooms house for sale in kenyatta road.(Gatu...,"KSh 39,500,000"
3 Bed House with En Suite at Kenyatta Road,Kenyatta Road,3BEDROOM BUNGALOWS PLUS DSQ,"KSh 10,500,000"
4 Bed House with En Suite in Ruiru,Ruiru,4 Bedroom mansionettes all En-suite for sale in...,"KSh 15,500,000"
3 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",Luxury 3 bedrooms with DSQ vipingo ridge,"KSh 13,000,000"
5 Bed House with En Suite at Old Runda,"09, Old Runda, Runda, Westlands",Find tranquility in this luxurious 5 bedroom sm...,"KSh 200,000,000"
5 Bed House with En Suite at Lower Kabete,"99, Lower Kabete, Westlands",LOWER KABETE - An elegant and exclusive 5 bedro...,"KSh 125,000,000"
4 Bed Villa with En Suite in Kiserian,Kiserian,Thorn Tree House- Kiserian,"KSh 60,000,000"
2 Bed House with Garden at Sweet Waters,"Sweet waters, Nanyuki",HOLIDAY COTTAGE ON ¼ ACRE LAND NEAR SWEET WATER...,"KSh 6,800,000"
3 Bed House with En Suite at Guango East Estate,"Guango East Estate, Ruaka",THREE-BEDROOM BUNGALOW FOR SALE IN GUANGO EAST...,"KSh 8,500,000"
5 Bed House with En Suite at Gigiri,"Gigiri, Westlands",5 Bedroom mansion For Sale in Gigiri suburbs,"KSh 275,000,000"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,5 bedroom house for sale in kiambu road,"KSh 60,000,000"
3 Bed House with En Suite at Kangudo Road,"Kangudo road, Kamulu, Kamulu Joska Malaa",Modern 3 Bedroom bungalow with concrete roof in...,"KSh 7,700,000"
5 Bed House in Runda,"Runda, Westlands",5 Bedroom House For Sale,"KSh 250,000,000"
4 Bed Townhouse with En Suite at Off Namanga Road,"Off Namanga Road, Kitengela",4 bedroom house for sale in Kitengela,"KSh 11,500,000"
5 Bed Villa with En Suite in Karen,Karen,NEW KAREN 5 BEDROOM ALL ENSUITE VILLA + 2 DSQ O...,"KSh 90,000,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",A sturdy 5 Bedroomed Townhouse.,"KSh 60,000,000"
3 Bed House at Five Star Paradise,"Kiambu Road, Five Star Paradise","3, 4 & 5 Bedroom Villas & Townhouses For Sale i...","KSh 29,700,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Luxury 4 & 5 Bed Villas For Sale In Runda Valle...,"KSh 135,000,000"
5 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",5 Bedroom Villa For Sale In Kitisuru,"KSh 130,000,000"
3 Bed Townhouse with Swimming Pool in Nyali Area,"Nyali Area, Nyali",3 bedroom townhouse in Nyali for sale (37),"KSh 19,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,MANNA RESIDENCE IN RUIRU,"KSh 14,150,000"
5 Bed Townhouse with Garden in Lavington,Lavington,Lavington in a well secured gated community 5be...,"KSh 60,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Spacious 4 Bedrooms all ensuite plus a Family/T...,"KSh 80,000,000"
6 Bed House in South C,South C,6 bedroom house for sale in South C - 3KE153358...,"KSh 100,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,STUNNING OWN COMPOUND 5-BEDROOM TOWNHOUSE IN LA...,"KSh 43,000,000"
5 Bed Villa with En Suite at Karen,"222, karen, Karen",New spacious 5 bedrooms villa for sale in Karen,"KSh 80,000,000"
4 Bed Townhouse with En Suite at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",Elegant four bedroom Townhouse,"KSh 40,000,000"
5 Bed House with En Suite in Karen,Karen,Beautiful 5 Bedroom Family Home for Sale,"KSh 67,000,000"
5 Bed Villa with En Suite in Membley,"Membley, Ruiru",Experience the Ultimate Comfort: 5 Bedroom Mais...,"KSh 22,000,000"
4 Bed Townhouse in Mkomani,"Mkomani, Nyali",3 DETACHED TOWNHOUSES FOR SALE - MKOMANI,"KSh 105,000,000"
4 Bed Villa with En Suite in Syokimau,Syokimau,Spacious 4 and 5 bedroom located in Syokimau,"KSh 13,500,000"
5 Bed House with En Suite in Thigiri,"Thigiri, Westlands",STUNNING 5 BEDROOM STAND ALONE HOUSE FOR SALE I...,"KSh 170,000,000"
3 Bed House with En Suite at Acacia,"Kitengela, Acacia",3 Bedroom + Dsq For sale,"KSh 7,500,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious 4Bedroom Villa for Sale in Lavington,"KSh 75,000,000"
4 Bed House with En Suite in South B,South B,PARKSIDE VILLAS- OFF LIKONI RD,"KSh 22,000,000"
6 Bed House with En Suite at Kinanda Road,"67, Kinanda Road, Kitisuru, Westlands",magnificent 6-bedroom residence located in the...,"KSh 120,000,000"
4 Bed Townhouse with En Suite at South C,South C,4 Bedroom Cozy Family Home with Own Compound So...,"KSh 18,500,000"
4 Bed House in Parklands,"Parklands, Westlands",Stunning 4 Bedroom Duplex Penthouse For Sale In...,Price not communicated
4 Bed Townhouse with En Suite in Muthaiga,Muthaiga,Four Bedrooms Townhouse For Sale In Muthaiga No...,"KSh 38,000,000"
4 Bed House with Garden in Garden Estate,"Garden Estate, Roysambu",4 bedroom house for sale in Garden Estate,"KSh 55,000,000"
5 Bed House with En Suite at Whispers Gigiri,"Whispers gigiri, Gigiri, Westlands",Gigiri 5 bedroom house for sale sits on 0.5 acr...,"KSh 90,000,000"
4 Bed House with En Suite in Kitengela,Kitengela,4 Bedroom Townhouse For Sale,"KSh 17,000,000"
4 Bed House with En Suite at Ndege Road,"Ndege road, Karen",4 Bedrooms for sale on 1 acre in a gated commun...,"KSh 130,000,000"
4 Bed House with En Suite in Muthaiga,Muthaiga,Four bedrooms plus sq for sale muthaiga,"KSh 300,000,000"
3 Bed House with En Suite at Kenyatta Road,"Exit 14 off Thika Super Highway, Kenyatta Road","14TH GROVE, BUNGALOWS","KSh 10,500,000"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Ongoing Project! Modern Townhouses and Villas F...,"KSh 38,500,000"
5 Bed House with En Suite in Nyali Area,"Nyali, Nyali Area",5 bedroom town house on sale at a prime area of...,"KSh 32,000,000"
3 Bed House in Buruburu,Buruburu,3 Bedroom residential bungalow at Buruburu,"KSh 10,000,000"
3 Bed House with En Suite at Nyerere Road,"Nyerere road, Mombasa Island",DUPLEX FOR SALE - SPACIOUS 3BEDROOM,"KSh 16,000,000"
4 Bed House with En Suite at Coffee Gardens - Muthaiga North,"Coffee Gardens - Muthaiga North, Muthaiga",4 BEDROOMS BUNGALOW,"KSh 115,000,000"
6 Bed House with En Suite in Kizingo,"Kizingo, Mombasa Island",BEAUTIFUL 6 BEDROOM RESIDENCE FOR SALE IN KIZIN...,"KSh 110,000,000"
4 Bed Townhouse with En Suite at Apple Cross,"26, Apple Cross, Lavington",These are modern beautifully built villas with...,"KSh 120,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,3 BEDROOMS BUNGALOW IN RONGAI.,"KSh 6,800,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON AT KE...,"KSh 95,000,000"
3 Bed House with En Suite at Milimani,"milimani, Kitengela",3 Bedroom Bungalow For Sale In Kitengela,"KSh 6,200,000"
5 Bed Townhouse with En Suite in Ngong,Ngong,Beautiful five bedrooms Townhouse on sale in Ng...,"KSh 16,000,000"
7 Bed House with En Suite in Karen,Karen,Magnificent 7 bedroom house for sale in Karen,"KSh 170,000,000"
4 Bed House with En Suite in Loresho,"Loresho, Westlands",HIGH-END EXCLUSIVE MAISONETTES IN A GATED ESTAT...,"KSh 125,000,000"
4 Bed Villa with En Suite at Mombasa Road,"Mombasa Road, Athi River","4bdrm Villa in Greenpark, Athi River for Sale","KSh 35,000,000"
4 Bed Townhouse with En Suite at Chaalbi Drive,"chaalbi drive, Lavington",6 Townhouses development for sale,"KSh 65,000,000"
3 Bed House with En Suite at Juja Farm Road,"juja farm road, Juja",3 Bedroom Bungalows For Sale,"KSh 6,750,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",OR SALE 5 BEDROOMS EXCUTIVE MASSIONATES,"KSh 42,000,000"
5 Bed Villa with En Suite in Karen,Karen,5 BEDROOM VILLA FOR SALE KAREN MIOTONI,"KSh 180,000,000"
4 Bed Townhouse with En Suite in Kitengela,Kitengela,Affordable and spacious 4 bedroom maisonnette a...,"KSh 13,500,000"
4 Bed Villa with En Suite at Off Loresho Ridge,"1, Off Loresho Ridge, Loresho, Westlands",Stunning 4 Bedrooms brand new villas for sale i...,"KSh 130,000,000"
4 Bed House with En Suite in Lavington,Lavington,4 Bedroom house for sale In Lavington,"KSh 48,000,000"
4 Bed Villa with En Suite at Kilifi,"Bofa Beach, Kilifi, Bofa","Bofa,Beach House on sale.","KSh 170,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,"3-BEDROOMS BUNGALOW, NKOROI","KSh 6,500,000"
5 Bed House with En Suite in Kiambu Town,Kiambu Town,5 BEDROOMS MASIONETTE.,"KSh 26,500,000"
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",4br Townhouse On Sale Nyali Beach Road,"KSh 24,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",CONTEMPORARY 4 BEDROOM MAISONETTE FOR SALE IN N...,"KSh 62,000,000"
5 Bed House with En Suite at Loresho Ridge,"78, Loresho Ridge, Loresho, Westlands",Modern 5 bedroom townhouse for sale in Loresho,"KSh 120,000,000"
3 Bed House with Swimming Pool at Kikenni Road,"Kikenni Road, Langata",Beautiful Sanctuary and Business for Sale on 1....,"KSh 171,375,000"
4 Bed House with En Suite in Syokimau,"Mwananchi Rd, Syokimau",Lovely 4 Bedroom House For Sale In Syokimau At...,"KSh 20,000,000"
4 Bed Villa with En Suite at Githingiri,"Githingiri, Thika",4 BEDROOM MAISONETTE FOR SALE IN THIKA(GITHINGI...,"KSh 20,000,000"
4 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Stunning corner 4 bedrooms all en-suite private...,"KSh 80,000,000"
6 Bed House with En Suite at Mlolongo,"Mombasa Road,Mlolongo, Athi River","Approx. 1.86 acres With 6 Bed, 4 Bed Cottages &...","KSh 133,000,000"
3 Bed House at Kidfarmaco,"kidfarmaco, Kikuyu Town, Kikuyu","LOVELY ¼ ACRE PLOT WITH A 3BED BUNGALOW, IN KID...",Price not communicated
5 Bed House in Imara Daima,Imara Daima,5 Bedroom Maisonette in Imara Daima,"KSh 18,500,000"
3 Bed House with En Suite at Katani Road,"Katani road, Syokimau","Furnished 3bdrm Apartment in Greenpark, Athi Ri...","KSh 12,000,000"
3 Bed House with En Suite at Kenyatta Rd,"Kenyatta Rd, Kenyatta Road",3 Bedroom Bungalows for sale All ensuite with D...,"KSh 10,500,000"
7 Bed House in Runda,"Runda, Westlands",Semi-Finished 5 Bed House + 2 Bedroom Guest Hou...,"KSh 90,000,000"
4 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 Bedroom Townhouse For Sale On Lower Kabete,"KSh 49,000,000"
5 Bed House with En Suite at Runda,"Runda, Westlands",5 BEDROOM HOUSE FOR SALE IN RUNDA NAIROBI KENYA,"KSh 250,000,000"
4 Bed Townhouse with En Suite at Kitisuru,"Kirawa Road, Kitisuru, Westlands",Kitisuru 4bedroom townhouses plus Dsq for sale.,"KSh 50,000,000"
5 Bed House with En Suite at Ngoigwa,"Ngoigwa Tola, Ngoigwa, Juja",5bedrooms Masionette for Sale in Juja Ngoigwa e...,"KSh 21,950,000"
4 Bed House with Garden in Gigiri,"Gigiri, Westlands",4 bedroom house for sale in Gigiri,"KSh 110,000,000"
4 Bed Townhouse with En Suite at Gikambura,"Gikambura, Kikuyu Town, Kikuyu","4 Bedroom Town House at Gikambura,Kikuyu","KSh 12,000,000"
5 Bed Townhouse in Kizingo,"Kizingo, Mombasa Island",2 units of 5 Bedroom Massionates For Sale,"KSh 100,000,000"
5 Bed House with Swimming Pool in Westlands Area,"Westlands Area, Westlands",4 & 5 Bedroom Villas + DSQ,"KSh 118,000,000"
3 Bed House with En Suite at Kilimani,"kilimani, Kilimani",Spacious Town Hse 3bd all ensuite Garden for sa...,"KSh 23,000,000"
3 Bed House with En Suite at Vipingo Drive,"Vipingo Drive, Vipingo",A unique 3 bedroom house in Vipingo Ridge for s...,"KSh 40,000,000"
2 Bed House with Borehole in Syokimau,Syokimau,"2 BEDROOMS APARTMENTS, SYOKIMAU","KSh 7,500,000"
3 Bed House with En Suite at Athi River,"Athi River, Mombasa Road",Modern 3 bedroom house with a DSQ in a gated co...,"KSh 16,500,000"
4 Bed Townhouse with En Suite in South C,South C,NEW 4 BEDROOM TOWNHOUSE + DSQ FOR SALE IN SOUTH...,"KSh 32,000,000"
4 Bed Townhouse with Swimming Pool at Kiambu Road,"Kiambu road, Kiambu Road","4br Townhouse, Kiambu Rd","KSh 29,500,000"
4 Bed House with En Suite at Savanna Road,"phase 4, Savanna Road, Donholm",4 Bedroom beautiful family house for sale in Do...,"KSh 13,500,000"
5 Bed Townhouse with En Suite at Community Road,"Non, Community Road, Syokimau",5 bedroom two ensuite plus DSQ Duplex,"KSh 15,500,000"
3 Bed Townhouse with En Suite at Edenville Estate Phase 1,"Edenville Estate Phase 1, Kiambu Road",3 bedroom townhouse for sale in Edenville phase...,"KSh 26,000,000"
4 Bed House in Watamu,Watamu,"For sale two excutive villas,Watamu","KSh 60,000,000"
5 Bed House with En Suite in Lavington,Lavington,5 bedroom house for sale,"KSh 42,000,000"
3 Bed House with En Suite in Diani,Diani,FOR SALE 3 BEDROOMS MANSION - DIANI,"KSh 38,000,000"
3 Bed House with En Suite in Nyali Area,"beach road, Nyali Area, Nyali",3 bedroom bungalow own compound of half acre pl...,"KSh 48,000,000"
5 Bed House with En Suite at Bagathi Ridge,"Bagathi ridge, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 120,000,000"
4 Bed Villa with En Suite at Greenwood Nyali,"Nyali, Greenwood Nyali, Nyali Area","Nyali,Villa on sale","KSh 75,000,000"
5 Bed House with En Suite in Shanzu,Shanzu,For Sale 5 Bedrooms Executive Mansion - Shanzu,"KSh 250,000,000"
5 Bed Townhouse with En Suite at Convent Drive,"66, Convent drive, Lavington","Designed and developed to the highest level, th...","KSh 65,000,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Luxurious Homes For Sale In Runda Valley,"KSh 65,000,000"
4 Bed Villa with En Suite at Kiambu Road,Kiambu Road,4 BR Villas for Sale along Kiambu Road each on...,"KSh 57,000,000"
4 Bed House with En Suite in Ngong,Ngong,4 BEDROOMS ALL ENSUITE MAISONETTE FOR SALE IN N...,"KSh 25,000,000"
3 Bed House with En Suite at Mountain View,"Mountain view, Nanyuki",3 BEDROOM BUNGALOW IN MOUNTAIN VIEW ESTATE NANY...,"KSh 16,500,000"
3 Bed House with En Suite at Milimani,"milimani, Kitengela",3 Bedroom Bungalow for sale in Kitengela,"KSh 6,000,000"
5 Bed Townhouse with Swimming Pool in Kitisuru,"Kitisuru, Westlands","FOR SALE : 5 BEDROOM ALL ENSUITE , TWO SQ IN KI...","KSh 90,000,000"
4 Bed House at Mwanzi Road,"Mwanzi Road, Westlands Area, Westlands",4 bedroom maisonette for sale in Westlands,"KSh 33,000,000"
3 Bed House with En Suite at Mombasa Road,"Mombasa Road, Athi River","Gorgeous 3 bedrooms maisonettes, Athi River","KSh 11,700,000"
4 Bed House in Parklands,"Parklands, Westlands",Centrally located 4 bedroom House For Sale in a...,"KSh 34,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,4 BEDROOMS MASIONETTE,"KSh 13,000,000"
4 Bed Villa with En Suite at Fivestar Meadows,"Fivestar Meadows, Kiambu Road",𝗙𝗢𝗨𝗥-𝗕𝗘𝗗𝗥𝗢𝗢𝗠 𝗛𝗢𝗨𝗦𝗘 𝗙𝗢𝗥 𝗦𝗔𝗟𝗘 𝗜𝗡 𝗙𝗜𝗩𝗘𝗦𝗧𝗔𝗥 𝗠𝗘𝗔𝗗𝗢𝗪𝗦...,"KSh 38,000,000"
4 Bed House with En Suite at Ruiru,"Mugutha, Ruiru",Mahogany Stairs 4bedrooms Maisonette,"KSh 28,500,000"
7 Bed House with En Suite at Landless Estate,"Landless Estate, Thika",7 BEDROOM MANSION IN LANDLESS ESTATE THIKA,"KSh 20,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Luxury 3 storey townhouse,"KSh 69,000,000"
3 Bed Villa with En Suite at Serena,"Serena, Shanzu","Serena,lovely home on 2.5 acres on sale.","KSh 75,000,000"
3 Bed House with En Suite at Kimuka,"Kimuka, Ngong",Colina Homes for sale in Kimuka Ngong,"KSh 15,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4 Bedroom Townhouse for Sale in Kiambu,"KSh 29,500,000"
4 Bed House with En Suite at Acacia,"ACACIA, Kitengela",3 Bedroom Bungalow With Dsq for sale in Kiteng...,"KSh 5,800,000"
3 Bed Townhouse with En Suite in Juja,Juja,3 bedroom double-storey apartment for sale in J...,"KSh 9,500,000"
3 Bed House at Acacia,"Acacia, Kitengela",Modern Houses for Sale,"KSh 4,500,000"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 bedroom townhouse for sale in lower Kabete,"KSh 120,000,000"
4 Bed House with En Suite in Ngong,Ngong,4-BEDROOMS MAISONETTE,"KSh 14,500,000"
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands","3,4 & 5 BEDROOM TOWNHOUSE TO LET IN RUNDA FROM...","KSh 40,000,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands","3, 4 and 5 Bedrooms For Sale.","KSh 60,000,000"
5 Bed House with En Suite at Karen Ololua Estate,"Karen ololua estate, Karen",5 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 99,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Ongoing Project! Modern Townhouses and Villas F...,"KSh 47,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,"5 BEDROOM TOWNHOUSE +DSQ FOR SALE IN LAVINGTON,...","KSh 55,000,000"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5 BEDROOM STAND-ALONE HOUSE FOR SALE IN GIGIRI,"KSh 230,000,000"
3 Bed Townhouse with En Suite at Off Mumias Road,"off Mumias Road, Buruburu",STANDARD 3 BEDROOM MAISONETTE FOR SALE IN BURUB...,"KSh 10,000,000"
4 Bed Townhouse with En Suite at Edenville Phase 2,"EDENVILLE PHASE 2, Kiambu Road",4 BEDROOM HOUSE PLUS DSQ FOR SALE ALONG KIAMBU...,"KSh 24,500,000"
4 Bed House with En Suite at Brookside Drive.,"BrooksIde drive., Brookside, Westlands","4 bedroom townhouse for Sale, Brookside, Nairob...","KSh 75,000,000"
3 Bed House with En Suite in Juja,Juja,"3 BEDROOMS BUNGALOW, JUJA.","KSh 8,500,000"
5 Bed House with En Suite at Whispers Venue,"55, Whispers Venue, Gigiri, Westlands",Sandwiched between built homes Gigiri Road 5 be...,"KSh 200,000,000"
4 Bed House with En Suite in Syokimau,Syokimau,4 BEDROOMS MAISONETTE IN SYOKIMAU.,"KSh 18,000,000"
5 Bed House with Swimming Pool in Syokimau,Syokimau,5-BEDROOMS MAISONETTE,"KSh 23,000,000"
4 Bed Townhouse with Garden in Syokimau,Syokimau,4 bedroom townhouse for sale in syokimau machak...,"KSh 14,500,000"
5 Bed House in Lavington,Lavington,Five bedrooms plus sq for sale,"KSh 55,000,000"
4 Bed House in Westlands Area,"Westlands Area, Westlands",4 Bedroom Maisonette For Sale in Westlands.,"KSh 35,000,000"
4 Bed Townhouse with En Suite at Milimani,"Milimani, Kitengela",4 Bedroom Town House for Sale in Kitengela,"KSh 17,000,000"
4 Bed House with En Suite at Bamburi,"Bamburi, Mombasa CBD, Mombasa Island",4 bedroom modern spacious villa on sale in a sh...,"KSh 16,500,000"
2 Bed House with En Suite at Kiembeni,"Kiembeni, Bamburi",2 Bedroom Master ensuite Bungalow in Blue Estat...,"KSh 5,500,000"
4 Bed House with En Suite in Ongata Rongai,Ongata Rongai,"4 BEDROOMS MAISONETTE, RONGAI.","KSh 12,000,000"
4 Bed House with En Suite in Karen,Karen,4 BEDROOM HOUSE FOR SALE KAREN,"KSh 65,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3 BEDROOMS BUNGALOW, KITENGELA.","KSh 9,000,000"
5 Bed House with En Suite at Kerarapon,"kerarapon, Karen",Prestigious five bedroom house,"KSh 60,000,000"
5 Bed House with En Suite at Acacia,"ACACIA, Kitengela",5 bedroom mansion for sale in kitengela,"KSh 11,000,000"
4 Bed Townhouse with En Suite in Langata,Langata,4 BEDROOM MAISONETTE FOR SALE IN LANGATA AT KES...,"KSh 42,000,000"
4 Bed House with Garden at Mwihoko,"Mwihoko, Kahawa Sukari, Roysambu",4 bedroom House for sale in Mwihoko,"KSh 15,000,000"
4 Bed House with En Suite at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",Stunning secure 4 bedroom townhouse plus family...,"KSh 45,000,000"
4 Bed House with Garden in Lower Kabete,"Lower Kabete, Westlands",4 Bedroom House For Sale In The Upscale Neighbo...,"KSh 98,000,000"
5 Bed House with En Suite at Mwananchi Road,"Mwananchi road, Syokimau",Magnificent 5 bedroom maisonette for sale,"KSh 24,000,000"
4 Bed Villa with En Suite in Brookside,"Brookside, Westlands",Luxurious 4 Bedroom All-Ensuite Villa in Secure...,"KSh 47,000,000"
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands","4br Townhouse, Runda","KSh 130,000,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",CUSTOM APPOINTED 4 BEDROOM VILLAS ALL EN SUITE...,"KSh 55,000,000"
7 Bed House with En Suite at Near Waldorf School,"BURGURET,NEAR WALDORF SCHOOL, Nanyuki","MT. KENYA-FACING 7-COTTAGE ECO LODGE FOR SALE,...",Price not communicated
5 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",5 bedroom house for sale in Garden Estate - 3KE...,"KSh 59,000,000"
4 Bed House with Garden at Waiyaki Way,"Waiyaki Way, Westlands",Semi-Detached 4 Bed Maisonette For Sale On Waiy...,"KSh 35,000,000"
4 Bed Villa in Loresho,"Loresho, Westlands",4 Bedroom Semi-Detached Villa For Sale In Lores...,"KSh 34,000,000"
4 Bed Townhouse with Garden in Lavington,Lavington,Lavington in a well secured gated community a c...,"KSh 75,000,000"
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",Spring Valley 5 Bedroom Townhouse for Sale,"KSh 50,000,000"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 bedroom townhouse 3KE1607690,"KSh 49,000,000"
3 Bed House with En Suite in Athi River,Athi River,3 bedroom house for sale in Athi River (Kenya)...,"KSh 13,600,000"
3 Bed House with En Suite in South C,South C,3 Bedroom Massionate House For Sale at South C...,"KSh 12,700,000"
2 Bed Villa in Kikambala,Kikambala,"For sale 2 bedrooms bungalow, kikambala","KSh 17,000,000"
3 Bed Villa with En Suite at Bokoboko,"Kanamai, Bokoboko, Kikambala",3 Bedroom villa with a swimming pool and a serv...,"KSh 39,000,000"
4 Bed House with En Suite at Nyali Bridge,"Nyali, Nyali Bridge, Mombasa CBD, Mombasa Island",4 bedroom creek side villa on a free hold land...,"KSh 170,000,000"
5 Bed Townhouse in Runda,"Runda, Westlands",5 Bedroom Townhouse In a gated community of few...,"KSh 120,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,PALATIAL FIVE BEDROOM HOUSE FOR SALE IN KIAMBU,"KSh 85,000,000"
5 Bed Townhouse with En Suite at Mb,"MB, Lavington","5 bedroom houses for sale in Lavington, Nairobi","KSh 90,000,000"
4 Bed House with En Suite in Syokimau,Syokimau,4 bedroom house for sale in syokimau,"KSh 33,000,000"
House in Nyali Area,"Nyali Area, Nyali",For sale 3 bedrooms bungalow,"KSh 32,000,000"
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",For sale 4 Bedrooms massionate - Nyali,"KSh 43,000,000"
4 Bed Townhouse with En Suite at Argwings Khodhek,"Argwings Khodhek, Kilimani",Kilimani Estate Spacious 4 Bedroom Townhouse pl...,"KSh 53,000,000"
4 Bed House with En Suite at Nairobi,"Owashika road, Lavington, Nairobi","4 bed charming cottage on 0.8 acres for sale, O...","KSh 165,000,000"
5 Bed House with Swimming Pool at Kibo Lane,"Kibo Lane, Karen","5 bedroom house for sale in Kibo Lane, Karen, N...","KSh 220,863,379"
5 Bed House with En Suite at Ridgeways,"RIDGEWAYS, Ridgeways",Stunning 5 bedroom house for sale,"KSh 85,000,000"
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 4 BEDROOMS MASSIONATE - NYALI,"KSh 33,000,000"
3 Bed Townhouse with En Suite in Athi River,Athi River,3 bedroom house for sale in Athi River (Kenya)...,"KSh 10,900,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5Bedroom Townhouse for Sale in Lavington,"KSh 65,000,000"
4 Bed Townhouse with En Suite at Ondiri,"Ondiri, Kikuyu Town, Kikuyu",4 Bedroom Master En-Suite Townhouses for sale i...,"KSh 13,000,000"
3 Bed House with Garden at Pepo Lane,"Pepo Lane, Karen",3 bedroom house set on 1 acre for sale in Karen,"KSh 75,000,000"
4 Bed Townhouse with En Suite at Ngong Road,"0208, Ngong road, Ngong",Four bedrooms Townhouse on sale in Kibiko Ngong,"KSh 25,000,000"
4 Bed House with En Suite in Kitengela,"kinyahwe road, Kitengela",4 BEDROOMED BUNGALOW(HOME) IN KITENGELA NEW VAL...,"KSh 10,500,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Magnificent 4 Bedroomed Double Storey For Sale...,"KSh 90,000,000"
3 Bed House with Walk In Closet in Muchatha,"Muchatha, Muchatha and Banana",3-BEDROOMS APARTMENTS.,"KSh 8,500,000"
3 Bed House with Garden at Milimani,"Milimani, Kitengela",3 Bedroom Bungalow for sale in Kitengela,"KSh 6,000,000"
4 Bed Townhouse in Nyali Area,"Nyali Area, Nyali",4 BEDROOM OLD MASSIONATE FOR SALE - OLD NYALI,"KSh 110,000,000"
5 Bed Villa with En Suite at Namanga,"Namanga, Kitengela",Luxury 5 Bedroom Villas with detached DSQ all E...,"KSh 20,000,000"
5 Bed House in Kileleshwa,Kileleshwa,Homely Kileleshwa Five Bedroom Townhouse.,"KSh 65,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern and Spacious 5 Bedrooms all ensuite plus...,"KSh 50,000,000"
4 Bed Townhouse with En Suite in Kizingo,"Kizingo, Mombasa Island",FOR SALE 4 BEDROOMS OLD MASSIONATE - KIZINGO,"KSh 85,000,000"
3 Bed House with En Suite at Kamulu,"Kamulu1, Kamulu, Kamulu Joska Malaa",Spectacular 3br all ensuite bungalow.,"KSh 5,990,000"
5 Bed Townhouse with En Suite at Mwingi Road,"Mwingi Court, Mwingi Road, Kileleshwa",5 Bedroom House plus SQ For Sale- Kileleshwa,"KSh 35,000,000"
4 Bed House with En Suite at Shree Estate,"Off Links Road,Shree Estate, Nyali Area, Nyali",FOR SALE || MAISONETTE || 4 BEDROOM || ALL EN S...,"KSh 40,000,000"
3 Bed House in South C,South C,STANDARD 3 BEDROOM MAISONETTE IN AKIBA ESTATE F...,"KSh 17,800,000"
5 Bed House in Ongata Rongai,Ongata Rongai,Five bedrooms for sale rongai,"KSh 40,000,000"
